"screenName","universal"
"Aliblue02",0.111167191085188
"Alicia04216",0.111167191085188
"AliciaAco",0.0481136657077545
"AliciaEscPO",0.0607801135208407
"Alicinchi",0.119569866519679
"Alicrazy22Maria",0.300816711527256
"AlmaFuerte40",0.052029365506959
"AlvaroApud",0.0708925733007609
"AmancioSegovia",0.0323987547370742
"Ambito1comercio",0.900613629858979
"AmelAsmae",0.756452464665557
"Amontanafm",0.283782475135694
"AmoxTodo",0.0379801364663761
"AnaFelicevich",0.0656555619800429
"AnaMaraDonato",0.148120708329673
"AnaRosa3011",0.194667737284505
"AnaScottChagall",0.336555195487199
"AnabeLettieri",0.0607801135208407
"Anabelruth2012",0.300816711527256
"AnahiTRodri",0.0562449121005188
"AnaliaRamis",0.0825396626774012
"Andre9902",0.393746460000491
"AndreaFer0223",0.148120708329673
"Andrea_Gentil",0.0656555619800429
"AndresAcciarri",0.0444788321741982
"AndresRuffo",0.119569866519679
"Andres_Castro22",0.0607801135208407
"Aneta",0.0656555619800429
"AngelBulos",0.596776171128277
"Angelic20042503",0.236336911395384
"AngelinoPitt",0.0889951559667924
"AnitaG_34",0.283782475135694
"AnnaIrmaBattino",0.0379801364663761
"Anna_Tessitore",0.148120708329673
"AntoQuintanaaaa",0.0254864249403189
"AntonelaCasas",0.0825396626774012
"AntooJungengel",0.0299138233514213
"Anxrchy_",0.0562449121005188
"AnyelitaParedes",0.0656555619800429
"Anyeluna",0.576808656254886
"AnyttaRamos",0.0276140429422608
"Anyulina63",0.221795687690215
"Apple_Marttini",0.374266788182162
"AracenaDiego",0.79905844100477
"ArandaCMariel",0.138026189602166
"Arelis_Morales",0.267344003063405
"ArellanoCarlos",0.0444788321741982
"ArgClauordonez",0.0481136657077545
"ArgieLAX",0.0708925733007609
"AriasVenezuela",0.708112626761362
"Ariel67862723",0.433677433532932
"AriellDuartee",0.0562449121005188
"Arielraman",0.0607801135208407
"AristarcoDSamos",0.0411067402195677
"Arlexlimongi",0.433677433532932
"Artex55",0.635706839522915
"AryaStark_VE",0.355186217086113
"AstolfoClaudio",0.355186217086113
"Atenas2009",0.318418856131781
"Atenea2",0.318418856131781
"AticoCuisineLou",0.708112626761362
"AugustoBalassi",0.119569866519679
"Aurabellag",0.1701324265303
"Aurimorales",0.138026189602166
"AveFenix032",0.128515833759837
"AyeAltamiranda",0.0656555619800429
"B3AR_301",0.0411067402195677
"BERNARDOMOLES3",0.393746460000491
"BMP62",0.0562449121005188
"BMassiel",0.433677433532932
"BMiccaa",0.0411067402195677
"Bachir_c",0.495057564008046
"BaetckeRudolf",0.0444788321741982
"BaezaSemar",0.267344003063405
"BansiBrp",0.0299138233514213
"BarackusObama",0.0444788321741982
"BarbieNarvaez",0.0299138233514213
"BarriteBermude",0.635706839522915
"BarutaABP",0.53617614776787
"BautiSeco",0.0379801364663761
"BeCougnet",0.0562449121005188
"BeLuWaChiTuRRi",0.576808656254886
"Beadiosdado",0.138026189602166
"BeatrizIribarne",0.236336911395384
"Beisbol007",0.690801916006448
"Belenastegiano",0.0323987547370742
"BellaniMatias",0.0254864249403189
"BellyBellyNice",0.0379801364663761
"BelnEscalante2",0.148120708329673
"BergeseMartin",0.0889951559667924
"BernieVoloj",0.0379801364663761
"Bertohur",0.119569866519679
"Bettyboodos",0.495057564008046
"BetzaidaBenedet",0.300816711527256
"Bia_Con",0.65455964610715
"BienKyTHCFREE",0.0765131067279284
"BlancaSi",0.182079031309288
"BlasproMartin",0.25152334764543
"BoloSebastian",0.138026189602166
"Boocademivida",0.0481136657077545
"BottaNicos",0.103285734671236
"BouVirginia",0.194667737284505
"BrancaNie",0.0444788321741982
"BrendaBrecher",0.128515833759837
"Brenda_Lydon",0.1701324265303
"Brianriver95",0.0765131067279284
"Brumarro",0.0889951559667924
"BrunoNP_",0.0444788321741982
"ByteDevils",0.515643330531229
"CABAMasUnido",0.194667737284505
"CANDELA2010",0.128515833759837
"CCARIComuna5",0.236336911395384
"CCARIPrensa",0.433677433532932
"CGTCREEstatal",0.128515833759837
"CHARLIE_DIABLAS",0.0562449121005188
"CHPOP",0.374266788182162
"CLAUDIOSIVORI",0.0959027621411744
"CLeBihan1",0.0481136657077545
"C_Faquetti",0.221795687690215
"Caami_Manrique",0.283782475135694
