"screenName","point","hashtag","BOTNOT"
"AntoFrangi_05",0.138026189602166,"#AperturadeSesiones","BOTNOT"
"AntoRnr2",0.0299138233514213,"#AperturadeSesiones","BOTNOT"
"AntoVallejos_Ok",0.0379801364663761,"#AperturadeSesiones","BOTNOT"
"Antodigiani",0.0299138233514213,"#Abortolegal2020","BOTNOT"
"AntonellaTroche",0.616428062638762,"#Abortolegal2020","BOT"
"Antonellalvare3",0.052029365506959,"#Abortolegal2020","BOTNOT"
"Antonio73096704",0.194667737284505,"#AperturadeSesiones","BOTNOT"
"AntunezLuu",0.0481136657077545,"#Abortolegal2020","BOTNOT"
"Any_Schattmann",0.0444788321741982,"#Abortolegal2020","BOTNOT"
"Anyulina63",0.236336911395384,"#AperturadeSesiones","BOTNOT"
"Aphagil",0.0562449121005188,"#Abortolegal2020","BOTNOT"
"ApolitoMaria",0.0562449121005188,"#AsambleaLegislativa2020","BOTNOT"
"Aposematico",0.0825396626774012,"#Abortolegal2020","BOTNOT"
"ApriLPDA",0.0481136657077545,"#Abortolegal2020","BOTNOT"
"Apstefto1",0.1701324265303,"#AsambleaLegislativa2020","BOTNOT"
"ArabelaTuti",0.0379801364663761,"#TodosConAlberto","BOTNOT"
"ArabellaArg97",0.194667737284505,"#TodosConAlberto","BOTNOT"
"Aracelib13",0.0481136657077545,"#AsambleaLegislativa2020","BOTNOT"
"AragornProvida",0.236336911395384,"#Abortolegal2020","BOTNOT"
"AranovichL",0.0765131067279284,"#AperturadeSesiones","BOTNOT"
"ArealMaga",0.111167191085188,"#Abortolegal2020","BOTNOT"
"ArgTrend",0.454005729161407,"#AperturadeSesiones","BOTNOT"
"Ariel11585780",0.0708925733007609,"#AsambleaLegislativa2020","BOTNOT"
"ArielSindel",0.182079031309288,"#AperturadeSesiones","BOTNOT"
"Arielf1998",0.267344003063405,"#AperturadeSesiones","BOTNOT"
"AriqueMaulen",0.0444788321741982,"#AperturadeSesiones","BOTNOT"
"ArteargentinA",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"AruuPosocco",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"AsheGomez",0.0411067402195677,"#TodosConAlberto","BOTNOT"
"AsiMilagros",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"AsocHNRG",0.194667737284505,"#Abortolegal2020","BOTNOT"
"AstridAMendezD",0.283782475135694,"#Abortolegal2020","BOTNOT"
"AtBritox",0.128515833759837,"#AperturadeSesiones","BOTNOT"
"AteneoNKMatanza",0.0562449121005188,"#AperturadeSesiones","BOTNOT"
"AugustoLD_G",0.0889951559667924,"#Abortolegal2020","BOTNOT"
"Awen605",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"AyD011963",0.182079031309288,"#AsambleaLegislativa2020","BOTNOT"
"AyalaRorrro",0.0299138233514213,"#AsambleaLegislativa2020","BOTNOT"
"AyeCouri",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"AyeeeeC",0.0235187716053296,"#Abortolegal2020","BOTNOT"
"Ayejulieta",0.052029365506959,"#AperturadeSesiones","BOTNOT"
"Ayitos",0.0323987547370742,"#AsambleaLegislativa2020","BOTNOT"
"Ayra41176338",0.283782475135694,"#AperturadeSesiones","BOTNOT"
"AyrtonGalvan",0.0444788321741982,"#TodosConAlberto","BOTNOT"
"AzulGalone",0.0656555619800429,"#AsambleaLegislativa2020","BOTNOT"
