"user","point"
"'alondracabrera'",0.052029365506959
"'COSECHA1970'",0.194667737284505
"'2021Ganamos'",0.413569897933165
"'vildozarocio222'",0.0562449121005188
"'maguyar83'",0.103285734671236
"'AliciaAleg'",0.0959027621411744
"'mabelmartik'",0.0562449121005188
"'Vitoria65016278'",0.138026189602166
"'ferperez308'",0.0889951559667924
"'loreinar'",0.103285734671236
"'malvarezmatias'",0.0889951559667924
"'Manueletch'",0.0299138233514213
"'laPili1952'",0.111167191085188
"'c_sashaa'",0.0411067402195677
"'Luislobo671'",0.158817464242006
"'NatuGomezok'",0.119569866519679
"'aralopez0'",0.0656555619800429
"'Pablo_M_13'",0.052029365506959
"'maygastesi'",0.495057564008046
"'VFeminismos'",0.393746460000491
"'ameveron_'",0.0889951559667924
"'pulga_larry'",0.0959027621411744
"'pabloaversa'",0.0959027621411744
"'Lilen_AM'",0.0444788321741982
"'santi__segura'",0.0276140429422608
"'xchocotorta_'",0.128515833759837
"'Joaquin91184197'",0.138026189602166
"'AFVOK'",0.0765131067279284
"'efrenferreira21'",0.1701324265303
"'mdpcardenas'",0.0656555619800429
"'EvyRoldan'",0.0276140429422608
"'marisaMUP'",0.0444788321741982
"'SED_30_11'",0.0959027621411744
"'cintiasbaez'",0.0444788321741982
"'deltio_campora'",0.0959027621411744
"'santyfer2000'",0.0411067402195677
"'AguBencivenga'",0.0235187716053296
"'Julia70256353'",0.336555195487199
"'BambaRamiro'",0.0656555619800429
"'SThemaiy'",0.957306089553235
"'eglebooks'",0.672938751801702
"'mariauxpen'",0.0481136657077545
"'Graciel90694409'",0.148120708329673
"'LeonMaltes'",0.119569866519679
"'noribarto'",0.103285734671236
"'PrensaJZamora'",0.0825396626774012
"'malditabenditaa'",0.0444788321741982
"'NicoleER'",0.0323987547370742
"'PapoPepeOK'",0.785507601006845
"'LucianoFasano5'",0.515643330531229
"'melodywte'",0.0411067402195677
"'anahid_bar'",0.194667737284505
"'mundoarcoiriss'",0.556587037349653
"'bien_bien_K'",0.0444788321741982
"'FacundoParedes_'",0.0350826433931558
"'hernanmaurette'",0.0889951559667924
"'solbaldini'",0.0350826433931558
"'nildamarquez4'",0.0765131067279284
"'NereaBbk1'",0.267344003063405
"'lalisotto'",0.0379801364663761
"'ddaicollante'",0.0411067402195677
"'PabloNicoAg'",0.0562449121005188
"'MarianoBibolini'",0.052029365506959
